x1,y1,z1,x2,y2,z2,angle,type
-7.80187505379546,-0.614020883166115,46.597,-7.77603148923355,-0.832372057658609,46.597,0.0,B
-7.77603148923355,-0.832372057658609,46.597,-7.72964895349755,-1.22425612340484,46.597,0.0,B
-7.72964895349755,-1.22425612340484,46.597,-7.65266253021123,-1.61129300954967,46.597,0.0,B
-7.65266253021123,-1.61129300954967,46.597,-7.60976699703222,-1.82694341753632,46.597,0.0,B
-7.60976699703222,-1.82694341753632,46.597,-7.44296829652587,-2.41836699797834,46.597,0.0,B
-7.80187505379546,-0.614020883166115,46.597,-7.80187505379546,-0.614020883166115,44.9748089608923,0.0785398163397448,C
-7.72964895349755,-1.22425612340484,46.597,-7.72964895349755,-1.22425612340484,46.1847533245235,3.14159265358979,C
-7.77603148923355,-0.832372057658609,46.597,-7.72964895349755,-1.22425612340484,46.1847533245235,-3.14159265358979,C
-7.65266253021123,-1.61129300954967,46.597,-7.72964895349755,-1.22425612340484,46.1847533245235,-3.14159265358979,C
-7.60976699703222,-1.82694341753632,46.597,-7.60976699703222,-1.82694341753632,44.9748089608923,0.0785398163397448,C
-7.44296829652587,-2.41836699797834,46.597,-7.44296829652587,-2.41836699797834,45.6167525126618,3.14159265358979,C
-7.60976699703222,-1.82694341753632,44.9748089608923,-7.44296829652587,-2.41836699797834,45.6167525126618,3.14159265358979,C
-7.72964895349755,-1.22425612340484,46.1847533245235,-7.72964895349755,-1.22425612340484,44.3328654091228,-3.14159265358979,C
-7.80187505379546,-0.614020883166115,44.9748089608923,-7.72964895349755,-1.22425612340484,44.3328654091228,3.14159265358979,C
-7.60976699703222,-1.82694341753632,44.9748089608923,-7.72964895349755,-1.22425612340484,44.3328654091228,3.14159265358979,C
-7.80187505379546,-0.614020883166115,44.9748089608923,-7.80187505379546,-0.614020883166115,43.9955,0.0785398163397448,C
-7.72964895349755,-1.22425612340484,44.3328654091228,-7.72964895349755,-1.22425612340484,43.9955,3.14159265358979,C
-7.60976699703222,-1.82694341753632,44.9748089608923,-7.60976699703222,-1.82694341753632,43.9955,0.0785398163397448,C
-7.44296829652587,-2.41836699797834,45.6167525126618,-7.44296829652587,-2.41836699797834,43.9955,-3.14159265358979,C
-7.80187505379546,-0.614020883166115,43.9955,-7.72964895349755,-1.22425612340484,43.9955,0.0,B
-7.72964895349755,-1.22425612340484,43.9955,-7.60976699703222,-1.82694341753632,43.9955,0.0,B
-7.60976699703222,-1.82694341753632,43.9955,-7.44296829652587,-2.41836699797834,43.9955,0.0,B
